date,age_format,cases
2020-08-31,85-89,7
2020-08-31,90+,5
2020-09-01,0-4,46
2020-09-01,10-14,41
2020-09-01,15-19,165
2020-09-01,20-24,275
2020-09-01,25-29,248
2020-09-01,30-34,192
2020-09-01,35-39,177
2020-09-01,40-44,144
2020-09-01,45-49,127
2020-09-01,5-9,26
2020-09-01,50-54,132
2020-09-01,55-59,93
2020-09-01,60-64,68
2020-09-01,65-69,37
2020-09-01,70-74,31
2020-09-01,75-79,31
2020-09-01,80-84,31
2020-09-01,85-89,18
2020-09-01,90+,30
2020-09-02,0-4,41
2020-09-02,10-14,60
2020-09-02,15-19,236
2020-09-02,20-24,354
2020-09-02,25-29,333
2020-09-02,30-34,241
2020-09-02,35-39,199
2020-09-02,40-44,179
2020-09-02,45-49,169
2020-09-02,5-9,47
2020-09-02,50-54,190
2020-09-02,55-59,166
2020-09-02,60-64,115
2020-09-02,65-69,59
2020-09-02,70-74,44
2020-09-02,75-79,30
2020-09-02,80-84,29
2020-09-02,85-89,47
2020-09-02,90+,62
2020-09-03,0-4,47
2020-09-03,10-14,62
2020-09-03,15-19,207
2020-09-03,20-24,412
2020-09-03,25-29,331
2020-09-03,30-34,228
2020-09-03,35-39,208
2020-09-03,40-44,212
2020-09-03,45-49,171
2020-09-03,5-9,57
2020-09-03,50-54,208
2020-09-03,55-59,172
2020-09-03,60-64,100
2020-09-03,65-69,49
2020-09-03,70-74,41
2020-09-03,75-79,39
2020-09-03,80-84,37
2020-09-03,85-89,39
2020-09-03,90+,40
2020-09-04,0-4,63
2020-09-04,10-14,69
2020-09-04,15-19,210
2020-09-04,20-24,388
2020-09-04,25-29,324
2020-09-04,30-34,270
2020-09-04,35-39,223
2020-09-04,40-44,179
2020-09-04,45-49,173
2020-09-04,5-9,56
2020-09-04,50-54,143
2020-09-04,55-59,133
2020-09-04,60-64,104
2020-09-04,65-69,65
2020-09-04,70-74,51
2020-09-04,75-79,30
2020-09-04,80-84,41
2020-09-04,85-89,23
2020-09-04,90+,31
2020-09-05,0-4,42
2020-09-05,10-14,62
2020-09-05,15-19,218
2020-09-05,20-24,324
2020-09-05,25-29,246
2020-09-05,30-34,229
2020-09-05,35-39,201
2020-09-05,40-44,156
2020-09-05,45-49,145
2020-09-05,5-9,67
2020-09-05,50-54,136
2020-09-05,55-59,99
2020-09-05,60-64,77
2020-09-05,65-69,51
2020-09-05,70-74,30
2020-09-05,75-79,28
2020-09-05,80-84,28
2020-09-05,85-89,17
2020-09-05,90+,20
2020-09-06,0-4,49
2020-09-06,10-14,77
2020-09-06,15-19,179
2020-09-06,20-24,325
2020-09-06,25-29,198
2020-09-06,30-34,199
2020-09-06,35-39,182
2020-09-06,40-44,139
2020-09-06,45-49,134
2020-09-06,5-9,68
2020-09-06,50-54,138
2020-09-06,55-59,129
2020-09-06,60-64,72
2020-09-06,65-69,42
2020-09-06,70-74,35
2020-09-06,75-79,27
2020-09-06,80-84,24
2020-09-06,85-89,17
2020-09-06,90+,18
2020-09-07,0-4,70
2020-09-07,10-14,115
2020-09-07,15-19,271
2020-09-07,20-24,457
2020-09-07,25-29,391
2020-09-07,30-34,344
2020-09-07,35-39,284
2020-09-07,40-44,219
2020-09-07,45-49,233
2020-09-07,5-9,121
2020-09-07,50-54,236
2020-09-07,55-59,217
2020-09-07,60-64,121
2020-09-07,65-69,85
2020-09-07,70-74,77
2020-09-07,75-79,43
2020-09-07,80-84,51
2020-09-07,85-89,40
2020-09-07,90+,59
2020-09-08,0-4,54
2020-09-08,10-14,114
2020-09-08,15-19,228
2020-09-08,20-24,416
2020-09-08,25-29,338
2020-09-08,30-34,281
2020-09-08,35-39,231
2020-09-08,40-44,210
2020-09-08,45-49,203
2020-09-08,5-9,98
2020-09-08,50-54,211
2020-09-08,55-59,188
2020-09-08,60-64,134
2020-09-08,65-69,58
2020-09-08,70-74,46
2020-09-08,75-79,37
2020-09-08,80-84,45
2020-09-08,85-89,45
2020-09-08,90+,48
2020-09-09,0-4,61
2020-09-09,10-14,82
2020-09-09,15-19,233
2020-09-09,20-24,404
2020-09-09,25-29,336
2020-09-09,30-34,280
2020-09-09,35-39,228
2020-09-09,40-44,202
2020-09-09,45-49,185
2020-09-09,5-9,100
2020-09-09,50-54,205
2020-09-09,55-59,157
2020-09-09,60-64,122
2020-09-09,65-69,71
2020-09-09,70-74,43
2020-09-09,75-79,37
2020-09-09,80-84,30
2020-09-09,85-89,31
2020-09-09,90+,28
2020-09-10,0-4,74
2020-09-10,10-14,134
2020-09-10,15-19,254
2020-09-10,20-24,376
2020-09-10,25-29,345
2020-09-10,30-34,303
2020-09-10,35-39,270
2020-09-10,40-44,230
2020-09-10,45-49,225
2020-09-10,5-9,119
2020-09-10,50-54,207
2020-09-10,55-59,162
2020-09-10,60-64,100
2020-09-10,65-69,66
2020-09-10,70-74,63
2020-09-10,75-79,43
2020-09-10,80-84,34
2020-09-10,85-89,19
2020-09-10,90+,44
2020-09-11,0-4,67
2020-09-11,10-14,144
2020-09-11,15-19,223
2020-09-11,20-24,386
2020-09-11,25-29,284
2020-09-11,30-34,277
2020-09-11,35-39,220
2020-09-11,40-44,209
2020-09-11,45-49,211
2020-09-11,5-9,103
2020-09-11,50-54,176
2020-09-11,55-59,162
2020-09-11,60-64,109
2020-09-11,65-69,69
2020-09-11,70-74,61
2020-09-11,75-79,39
2020-09-11,80-84,37
2020-09-11,85-89,27
2020-09-11,90+,23
2020-09-12,0-4,57
2020-09-12,10-14,91
2020-09-12,15-19,196
2020-09-12,20-24,269
2020-09-12,25-29,199
2020-09-12,30-34,218
2020-09-12,35-39,189
2020-09-12,40-44,161
2020-09-12,45-49,158
2020-09-12,5-9,84
2020-09-12,50-54,160
2020-09-12,55-59,144
2020-09-12,60-64,99
2020-09-12,65-69,58
2020-09-12,70-74,36
2020-09-12,75-79,30
2020-09-12,80-84,26
2020-09-12,85-89,17
2020-09-12,90+,11
2020-09-13,0-4,50
2020-09-13,10-14,85
2020-09-13,15-19,157
2020-09-13,20-24,183
2020-09-13,25-29,149
2020-09-13,30-34,136
2020-09-13,35-39,135
2020-09-13,40-44,140
2020-09-13,45-49,135
2020-09-13,5-9,92
2020-09-13,50-54,111
2020-09-13,55-59,83
2020-09-13,60-64,61
2020-09-13,65-69,51
2020-09-13,70-74,39
2020-09-13,75-79,38
2020-09-13,80-84,25
2020-09-13,85-89,16
2020-09-13,90+,15
2020-09-14,0-4,39
2020-09-14,10-14,111
2020-09-14,15-19,220
2020-09-14,20-24,332
2020-09-14,25-29,301
2020-09-14,30-34,307
2020-09-14,35-39,257
2020-09-14,40-44,212
2020-09-14,45-49,221
2020-09-14,5-9,81
2020-09-14,50-54,216
2020-09-14,55-59,163
2020-09-14,60-64,95
2020-09-14,65-69,70
2020-09-14,70-74,41
2020-09-14,75-79,42
2020-09-14,80-84,45
2020-09-14,85-89,42
2020-09-14,90+,31
2020-09-15,0-4,48
2020-09-15,10-14,154
2020-09-15,15-19,213
2020-09-15,20-24,336
2020-09-15,25-29,290
2020-09-15,30-34,265
2020-09-15,35-39,275
2020-09-15,40-44,208
2020-09-15,45-49,230
2020-09-15,5-9,101
2020-09-15,50-54,213
2020-09-15,55-59,202
2020-09-15,60-64,128
2020-09-15,65-69,52
2020-09-15,70-74,55
2020-09-15,75-79,50
2020-09-15,80-84,48
2020-09-15,85-89,55
2020-09-15,90+,47
2020-09-16,0-4,73
2020-09-16,10-14,147
2020-09-16,15-19,283
2020-09-16,20-24,448
2020-09-16,25-29,405
2020-09-16,30-34,341
2020-09-16,35-39,286
2020-09-16,40-44,297
2020-09-16,45-49,301
2020-09-16,5-9,81
2020-09-16,50-54,297
2020-09-16,55-59,238
2020-09-16,60-64,143
2020-09-16,65-69,94
2020-09-16,70-74,65
2020-09-16,75-79,61
2020-09-16,80-84,47
2020-09-16,85-89,29
2020-09-16,90+,43
2020-09-17,0-4,87
2020-09-17,10-14,184
2020-09-17,15-19,320
2020-09-17,20-24,475
2020-09-17,25-29,410
2020-09-17,30-34,349
2020-09-17,35-39,361
2020-09-17,40-44,303
2020-09-17,45-49,295
2020-09-17,5-9,99
2020-09-17,50-54,308
2020-09-17,55-59,232
2020-09-17,60-64,157
2020-09-17,65-69,81
2020-09-17,70-74,67
2020-09-17,75-79,49
2020-09-17,80-84,33
2020-09-17,85-89,38
2020-09-17,90+,29
2020-09-18,0-4,109
2020-09-18,10-14,199
2020-09-18,15-19,349
2020-09-18,20-24,548
2020-09-18,25-29,457
2020-09-18,30-34,388
2020-09-18,35-39,373
2020-09-18,40-44,319
2020-09-18,45-49,304
2020-09-18,5-9,104
2020-09-18,50-54,327
2020-09-18,55-59,245
2020-09-18,60-64,181
2020-09-18,65-69,88
2020-09-18,70-74,59
2020-09-18,75-79,48
2020-09-18,80-84,37
2020-09-18,85-89,32
2020-09-18,90+,27
2020-09-19,0-4,123
2020-09-19,10-14,208
2020-09-19,15-19,414
2020-09-19,20-24,537
2020-09-19,25-29,427
2020-09-19,30-34,371
2020-09-19,35-39,357
2020-09-19,40-44,303
2020-09-19,45-49,281
2020-09-19,5-9,96
2020-09-19,50-54,286
2020-09-19,55-59,259
2020-09-19,60-64,147
2020-09-19,65-69,96
2020-09-19,70-74,73
2020-09-19,75-79,42
2020-09-19,80-84,35
2020-09-19,85-89,27
2020-09-19,90+,18
2020-09-20,0-4,130
2020-09-20,10-14,205
2020-09-20,15-19,432
2020-09-20,20-24,566
2020-09-20,25-29,479
2020-09-20,30-34,404
2020-09-20,35-39,421
2020-09-20,40-44,324
2020-09-20,45-49,318
2020-09-20,5-9,118
2020-09-20,50-54,363
2020-09-20,55-59,291
2020-09-20,60-64,183
2020-09-20,65-69,109
2020-09-20,70-74,75
2020-09-20,75-79,65
2020-09-20,80-84,42
2020-09-20,85-89,26
2020-09-20,90+,13
2020-09-21,0-4,90
2020-09-21,10-14,217
2020-09-21,15-19,428
2020-09-21,20-24,577
2020-09-21,25-29,480
2020-09-21,30-34,430
2020-09-21,35-39,397
2020-09-21,40-44,344
2020-09-21,45-49,317
2020-09-21,5-9,108
2020-09-21,50-54,369
2020-09-21,55-59,283
2020-09-21,60-64,184
2020-09-21,65-69,109
2020-09-21,70-74,79
2020-09-21,75-79,65
2020-09-21,80-84,44
2020-09-21,85-89,44
2020-09-21,90+,26
2020-09-22,0-4,93
2020-09-22,10-14,215
2020-09-22,15-19,540
2020-09-22,20-24,662
2020-09-22,25-29,547
2020-09-22,30-34,494
2020-09-22,35-39,428
2020-09-22,40-44,383
2020-09-22,45-49,345
2020-09-22,5-9,89
2020-09-22,50-54,387
2020-09-22,55-59,322
2020-09-22,60-64,219
2020-09-22,65-69,149
2020-09-22,70-74,96
2020-09-22,75-79,81
2020-09-22,80-84,63
2020-09-22,85-89,60
2020-09-22,90+,53
2020-09-23,0-4,114
2020-09-23,10-14,225
2020-09-23,15-19,709
2020-09-23,20-24,764
2020-09-23,25-29,612
2020-09-23,30-34,492
2020-09-23,35-39,450
2020-09-23,40-44,407
2020-09-23,45-49,398
2020-09-23,5-9,108
2020-09-23,50-54,372
2020-09-23,55-59,355
2020-09-23,60-64,221
2020-09-23,65-69,146
2020-09-23,70-74,95
2020-09-23,75-79,80
2020-09-23,80-84,68
2020-09-23,85-89,58
2020-09-23,90+,48
2020-09-24,0-4,116
2020-09-24,10-14,222
2020-09-24,15-19,786
2020-09-24,20-24,870
2020-09-24,25-29,615
2020-09-24,30-34,576
2020-09-24,35-39,514
2020-09-24,40-44,406
2020-09-24,45-49,408
2020-09-24,5-9,86
2020-09-24,50-54,441
2020-09-24,55-59,362
2020-09-24,60-64,273
2020-09-24,65-69,149
2020-09-24,70-74,94
2020-09-24,75-79,69
2020-09-24,80-84,66
2020-09-24,85-89,67
2020-09-24,90+,55
2020-09-25,0-4,136
2020-09-25,10-14,206
2020-09-25,15-19,797
2020-09-25,20-24,852
2020-09-25,25-29,567
2020-09-25,30-34,524
2020-09-25,35-39,443
2020-09-25,40-44,367
2020-09-25,45-49,443
2020-09-25,5-9,99
2020-09-25,50-54,408
2020-09-25,55-59,327
2020-09-25,60-64,231
2020-09-25,65-69,174
2020-09-25,70-74,117
2020-09-25,75-79,64
2020-09-25,80-84,58
2020-09-25,85-89,47
2020-09-25,90+,30
2020-09-26,0-4,105
2020-09-26,10-14,199
2020-09-26,15-19,987
2020-09-26,20-24,815
2020-09-26,25-29,459
2020-09-26,30-34,443
2020-09-26,35-39,385
2020-09-26,40-44,359
2020-09-26,45-49,362
2020-09-26,5-9,84
2020-09-26,50-54,367
2020-09-26,55-59,334
2020-09-26,60-64,218
2020-09-26,65-69,139
2020-09-26,70-74,127
2020-09-26,75-79,71
2020-09-26,80-84,56
2020-09-26,85-89,30
2020-09-26,90+,20
2020-09-27,0-4,129
2020-09-27,10-14,198
2020-09-27,15-19,1233
2020-09-27,20-24,879
2020-09-27,25-29,534
2020-09-27,30-34,396
2020-09-27,35-39,425
2020-09-27,40-44,350
2020-09-27,45-49,359
2020-09-27,5-9,71
2020-09-27,50-54,417
2020-09-27,55-59,340
2020-09-27,60-64,203
2020-09-27,65-69,132
2020-09-27,70-74,84
2020-09-27,75-79,66
2020-09-27,80-84,60
2020-09-27,85-89,32
2020-09-27,90+,16
2020-09-28,0-4,150
2020-09-28,10-14,238
2020-09-28,15-19,1531
2020-09-28,20-24,1219
2020-09-28,25-29,726
2020-09-28,30-34,711
2020-09-28,35-39,596
2020-09-28,40-44,516
2020-09-28,45-49,553
2020-09-28,5-9,118
2020-09-28,50-54,555
2020-09-28,55-59,466
2020-09-28,60-64,343
2020-09-28,65-69,208
2020-09-28,70-74,151
2020-09-28,75-79,109
2020-09-28,80-84,79
2020-09-28,85-89,64
2020-09-28,90+,60
2020-09-29,0-4,154
2020-09-29,10-14,244
2020-09-29,15-19,1837
2020-09-29,20-24,1335
2020-09-29,25-29,737
2020-09-29,30-34,627
2020-09-29,35-39,513
2020-09-29,40-44,460
2020-09-29,45-49,497
2020-09-29,5-9,86
2020-09-29,50-54,559
2020-09-29,55-59,450
2020-09-29,60-64,323
2020-09-29,65-69,205
2020-09-29,70-74,144
2020-09-29,75-79,99
2020-09-29,80-84,106
2020-09-29,85-89,106
2020-09-29,90+,103
2020-09-30,0-4,179
2020-09-30,10-14,233
2020-09-30,15-19,2624
2020-09-30,20-24,1682
2020-09-30,25-29,852
2020-09-30,30-34,761
2020-09-30,35-39,628
2020-09-30,40-44,528
2020-09-30,45-49,551
2020-09-30,5-9,120
2020-09-30,50-54,625
2020-09-30,55-59,530
2020-09-30,60-64,377
2020-09-30,65-69,217
2020-09-30,70-74,145
2020-09-30,75-79,116
2020-09-30,80-84,97
2020-09-30,85-89,74
2020-09-30,90+,68
2020-10-01,0-4,212
2020-10-01,10-14,295
2020-10-01,15-19,2755
2020-10-01,20-24,1845
2020-10-01,25-29,969
2020-10-01,30-34,804
2020-10-01,35-39,708
2020-10-01,40-44,575
2020-10-01,45-49,667
2020-10-01,5-9,131
2020-10-01,50-54,735
2020-10-01,55-59,634
2020-10-01,60-64,430
2020-10-01,65-69,255
2020-10-01,70-74,238
2020-10-01,75-79,121
2020-10-01,80-84,116
2020-10-01,85-89,80
2020-10-01,90+,71
2020-10-02,0-4,226
2020-10-02,10-14,338
2020-10-02,15-19,2651
2020-10-02,20-24,2010
2020-10-02,25-29,962
2020-10-02,30-34,875
2020-10-02,35-39,726
2020-10-02,40-44,668
2020-10-02,45-49,634
2020-10-02,5-9,135
2020-10-02,50-54,748
2020-10-02,55-59,703
2020-10-02,60-64,456
2020-10-02,65-69,273
2020-10-02,70-74,218
2020-10-02,75-79,149
2020-10-02,80-84,112
2020-10-02,85-89,84
2020-10-02,90+,71
2020-10-03,0-4,201
2020-10-03,10-14,243
2020-10-03,15-19,2149
2020-10-03,20-24,1629
2020-10-03,25-29,764
2020-10-03,30-34,731
2020-10-03,35-39,649
2020-10-03,40-44,526
2020-10-03,45-49,630
2020-10-03,5-9,109
2020-10-03,50-54,645
2020-10-03,55-59,574
2020-10-03,60-64,395
2020-10-03,65-69,245
2020-10-03,70-74,189
2020-10-03,75-79,131
2020-10-03,80-84,132
2020-10-03,85-89,53
2020-10-03,90+,63
2020-10-04,0-4,181
2020-10-04,10-14,243
2020-10-04,15-19,2264
2020-10-04,20-24,1784
2020-10-04,25-29,820
2020-10-04,30-34,734
2020-10-04,35-39,660
2020-10-04,40-44,596
2020-10-04,45-49,606
2020-10-04,5-9,100
2020-10-04,50-54,676
2020-10-04,55-59,594
2020-10-04,60-64,362
2020-10-04,65-69,242
2020-10-04,70-74,155
2020-10-04,75-79,136
2020-10-04,80-84,116
2020-10-04,85-89,71
2020-10-04,90+,37
2020-10-05,0-4,265
2020-10-05,10-14,390
2020-10-05,15-19,2663
2020-10-05,20-24,2279
2020-10-05,25-29,1178
2020-10-05,30-34,1045
2020-10-05,35-39,910
2020-10-05,40-44,855
2020-10-05,45-49,914
2020-10-05,5-9,188
2020-10-05,50-54,957
2020-10-05,55-59,906
2020-10-05,60-64,566
2020-10-05,65-69,322
2020-10-05,70-74,284
2020-10-05,75-79,214
2020-10-05,80-84,146
2020-10-05,85-89,127
2020-10-05,90+,113
2020-10-06,0-4,248
2020-10-06,10-14,437
2020-10-06,15-19,2655
2020-10-06,20-24,2422
2020-10-06,25-29,1276
2020-10-06,30-34,1151
2020-10-06,35-39,983
2020-10-06,40-44,852
2020-10-06,45-49,945
2020-10-06,5-9,211
2020-10-06,50-54,1006
2020-10-06,55-59,883
2020-10-06,60-64,573
2020-10-06,65-69,339
2020-10-06,70-74,287
2020-10-06,75-79,189
2020-10-06,80-84,176
2020-10-06,85-89,137
2020-10-06,90+,134
2020-10-07,0-4,247
2020-10-07,10-14,451
2020-10-07,15-19,2939
2020-10-07,20-24,2566
2020-10-07,25-29,1343
2020-10-07,30-34,1147
2020-10-07,35-39,1009
2020-10-07,40-44,885
2020-10-07,45-49,955
2020-10-07,5-9,205
2020-10-07,50-54,1006
2020-10-07,55-59,930
2020-10-07,60-64,696
2020-10-07,65-69,403
2020-10-07,70-74,286
2020-10-07,75-79,210
2020-10-07,80-84,172
2020-10-07,85-89,155
2020-10-07,90+,126
2020-10-08,0-4,284
2020-10-08,10-14,463
2020-10-08,15-19,2927
2020-10-08,20-24,2600
2020-10-08,25-29,1337
2020-10-08,30-34,1146
2020-10-08,35-39,1073
2020-10-08,40-44,940
2020-10-08,45-49,970
2020-10-08,5-9,238
2020-10-08,50-54,1074
2020-10-08,55-59,960
2020-10-08,60-64,614
2020-10-08,65-69,399
2020-10-08,70-74,313
2020-10-08,75-79,218
2020-10-08,80-84,164
2020-10-08,85-89,126
2020-10-08,90+,89
2020-10-09,0-4,262
2020-10-09,10-14,411
2020-10-09,15-19,2276
2020-10-09,20-24,2048
2020-10-09,25-29,1175
2020-10-09,30-34,1032
2020-10-09,35-39,889
2020-10-09,40-44,796
2020-10-09,45-49,860
2020-10-09,5-9,217
2020-10-09,50-54,959
2020-10-09,55-59,817
2020-10-09,60-64,568
2020-10-09,65-69,354
2020-10-09,70-74,259
2020-10-09,75-79,220
2020-10-09,80-84,156
2020-10-09,85-89,133
2020-10-09,90+,119
2020-10-10,0-4,202
2020-10-10,10-14,337
2020-10-10,15-19,1773
2020-10-10,20-24,1527
2020-10-10,25-29,878
2020-10-10,30-34,817
2020-10-10,35-39,712
2020-10-10,40-44,714
2020-10-10,45-49,722
2020-10-10,5-9,157
2020-10-10,50-54,718
2020-10-10,55-59,610
2020-10-10,60-64,468
2020-10-10,65-69,302
2020-10-10,70-74,222
2020-10-10,75-79,161
2020-10-10,80-84,112
2020-10-10,85-89,78
2020-10-10,90+,60
2020-10-11,0-4,179
2020-10-11,10-14,287
2020-10-11,15-19,1598
2020-10-11,20-24,1381
2020-10-11,25-29,827
2020-10-11,30-34,814
2020-10-11,35-39,681
2020-10-11,40-44,666
2020-10-11,45-49,667
2020-10-11,5-9,162
2020-10-11,50-54,770
2020-10-11,55-59,660
2020-10-11,60-64,440
2020-10-11,65-69,302
2020-10-11,70-74,194
2020-10-11,75-79,166
2020-10-11,80-84,133
2020-10-11,85-89,80
2020-10-11,90+,77
2020-10-12,0-4,280
2020-10-12,10-14,558
2020-10-12,15-19,2228
2020-10-12,20-24,2271
2020-10-12,25-29,1556
2020-10-12,30-34,1325
2020-10-12,35-39,1213
2020-10-12,40-44,1107
2020-10-12,45-49,1186
2020-10-12,5-9,287
2020-10-12,50-54,1230
2020-10-12,55-59,1079
2020-10-12,60-64,816
2020-10-12,65-69,410
2020-10-12,70-74,370
2020-10-12,75-79,279
2020-10-12,80-84,269
2020-10-12,85-89,196
2020-10-12,90+,144
2020-10-13,0-4,299
2020-10-13,10-14,473
2020-10-13,15-19,2279
2020-10-13,20-24,2322
2020-10-13,25-29,1400
2020-10-13,30-34,1316
2020-10-13,35-39,1167
2020-10-13,40-44,1062
2020-10-13,45-49,1021
2020-10-13,5-9,276
2020-10-13,50-54,1223
2020-10-13,55-59,1054
2020-10-13,60-64,737
2020-10-13,65-69,443
2020-10-13,70-74,342
2020-10-13,75-79,291
2020-10-13,80-84,232
2020-10-13,85-89,174
2020-10-13,90+,147
2020-10-14,0-4,307
2020-10-14,10-14,560
2020-10-14,15-19,2080
2020-10-14,20-24,2274
2020-10-14,25-29,1565
2020-10-14,30-34,1413
2020-10-14,35-39,1251
2020-10-14,40-44,1115
2020-10-14,45-49,1212
2020-10-14,5-9,298
2020-10-14,50-54,1264
2020-10-14,55-59,1113
2020-10-14,60-64,800
2020-10-14,65-69,478
2020-10-14,70-74,386
2020-10-14,75-79,297
2020-10-14,80-84,241
2020-10-14,85-89,176
2020-10-14,90+,148
2020-10-15,0-4,317
2020-10-15,10-14,554
2020-10-15,15-19,1868
2020-10-15,20-24,2028
2020-10-15,25-29,1461
2020-10-15,30-34,1356
2020-10-15,35-39,1146
2020-10-15,40-44,1062
2020-10-15,45-49,1113
2020-10-15,5-9,322
2020-10-15,50-54,1225
2020-10-15,55-59,1135
2020-10-15,60-64,770
2020-10-15,65-69,479
2020-10-15,70-74,351
2020-10-15,75-79,299
2020-10-15,80-84,231
2020-10-15,85-89,176
2020-10-15,90+,169
2020-10-16,0-4,277
2020-10-16,10-14,508
2020-10-16,15-19,1639
2020-10-16,20-24,1829
2020-10-16,25-29,1406
2020-10-16,30-34,1236
2020-10-16,35-39,1128
2020-10-16,40-44,1048
2020-10-16,45-49,1025
2020-10-16,5-9,298
2020-10-16,50-54,1147
2020-10-16,55-59,1029
2020-10-16,60-64,742
2020-10-16,65-69,473
2020-10-16,70-74,346
2020-10-16,75-79,283
2020-10-16,80-84,254
2020-10-16,85-89,212
2020-10-16,90+,165
2020-10-17,0-4,225
2020-10-17,10-14,427
2020-10-17,15-19,1292
2020-10-17,20-24,1506
2020-10-17,25-29,1244
2020-10-17,30-34,1130
2020-10-17,35-39,1060
2020-10-17,40-44,932
2020-10-17,45-49,975
2020-10-17,5-9,255
2020-10-17,50-54,1052
2020-10-17,55-59,969
2020-10-17,60-64,658
2020-10-17,65-69,391
2020-10-17,70-74,342
2020-10-17,75-79,233
2020-10-17,80-84,210
2020-10-17,85-89,150
2020-10-17,90+,99
2020-10-18,0-4,258
2020-10-18,10-14,409
2020-10-18,15-19,1246
2020-10-18,20-24,1404
2020-10-18,25-29,1152
2020-10-18,30-34,1091
2020-10-18,35-39,977
2020-10-18,40-44,916
2020-10-18,45-49,954
2020-10-18,5-9,218
2020-10-18,50-54,1003
2020-10-18,55-59,852
2020-10-18,60-64,571
2020-10-18,65-69,361
2020-10-18,70-74,314
2020-10-18,75-79,215
2020-10-18,80-84,155
2020-10-18,85-89,139
2020-10-18,90+,92
2020-10-19,0-4,368
2020-10-19,10-14,872
2020-10-19,15-19,2177
2020-10-19,20-24,2524
2020-10-19,25-29,2085
2020-10-19,30-34,2102
2020-10-19,35-39,1837
2020-10-19,40-44,1714
2020-10-19,45-49,1789
2020-10-19,5-9,413
2020-10-19,50-54,1771
2020-10-19,55-59,1654
2020-10-19,60-64,1125
2020-10-19,65-69,731
2020-10-19,70-74,598
2020-10-19,75-79,370
2020-10-19,80-84,312
2020-10-19,85-89,260
2020-10-19,90+,192
2020-10-20,0-4,426
2020-10-20,10-14,856
2020-10-20,15-19,1959
2020-10-20,20-24,2460
2020-10-20,25-29,2125
2020-10-20,30-34,1976
2020-10-20,35-39,1737
2020-10-20,40-44,1572
2020-10-20,45-49,1661
2020-10-20,5-9,444
2020-10-20,50-54,1765
2020-10-20,55-59,1558
2020-10-20,60-64,1019
2020-10-20,65-69,598
2020-10-20,70-74,494
2020-10-20,75-79,364
2020-10-20,80-84,348
2020-10-20,85-89,276
2020-10-20,90+,254
2020-10-21,0-4,396
2020-10-21,10-14,836
2020-10-21,15-19,2006
2020-10-21,20-24,2574
2020-10-21,25-29,2101
2020-10-21,30-34,1989
2020-10-21,35-39,1821
2020-10-21,40-44,1616
2020-10-21,45-49,1674
2020-10-21,5-9,433
2020-10-21,50-54,1746
2020-10-21,55-59,1549
2020-10-21,60-64,1082
2020-10-21,65-69,667
2020-10-21,70-74,522
2020-10-21,75-79,416
2020-10-21,80-84,338
2020-10-21,85-89,255
2020-10-21,90+,192
2020-10-22,0-4,398
2020-10-22,10-14,721
2020-10-22,15-19,1769
2020-10-22,20-24,2129
2020-10-22,25-29,1906
2020-10-22,30-34,1763
2020-10-22,35-39,1619
2020-10-22,40-44,1417
2020-10-22,45-49,1525
2020-10-22,5-9,361
2020-10-22,50-54,1615
2020-10-22,55-59,1464
2020-10-22,60-64,1021
2020-10-22,65-69,595
2020-10-22,70-74,549
2020-10-22,75-79,378
2020-10-22,80-84,309
2020-10-22,85-89,257
2020-10-22,90+,211
2020-10-23,0-4,374
2020-10-23,10-14,673
2020-10-23,15-19,1599
2020-10-23,20-24,2157
2020-10-23,25-29,1719
2020-10-23,30-34,1700
2020-10-23,35-39,1535
2020-10-23,40-44,1393
2020-10-23,45-49,1424
2020-10-23,5-9,327
2020-10-23,50-54,1588
2020-10-23,55-59,1339
2020-10-23,60-64,977
2020-10-23,65-69,609
2020-10-23,70-74,470
2020-10-23,75-79,402
2020-10-23,80-84,312
2020-10-23,85-89,282
2020-10-23,90+,196
2020-10-24,0-4,281
2020-10-24,10-14,505
2020-10-24,15-19,1143
2020-10-24,20-24,1454
2020-10-24,25-29,1362
2020-10-24,30-34,1296
2020-10-24,35-39,1160
2020-10-24,40-44,1143
2020-10-24,45-49,1142
2020-10-24,5-9,254
2020-10-24,50-54,1166
2020-10-24,55-59,1008
2020-10-24,60-64,693
2020-10-24,65-69,416
2020-10-24,70-74,377
2020-10-24,75-79,323
2020-10-24,80-84,248
2020-10-24,85-89,206
2020-10-24,90+,166
2020-10-25,0-4,250
2020-10-25,10-14,445
2020-10-25,15-19,1087
2020-10-25,20-24,1487
2020-10-25,25-29,1365
2020-10-25,30-34,1256
2020-10-25,35-39,1182
2020-10-25,40-44,1092
2020-10-25,45-49,1091
2020-10-25,5-9,264
2020-10-25,50-54,1187
2020-10-25,55-59,1049
2020-10-25,60-64,733
2020-10-25,65-69,435
2020-10-25,70-74,348
2020-10-25,75-79,290
2020-10-25,80-84,233
2020-10-25,85-89,187
2020-10-25,90+,143
2020-10-26,0-4,462
2020-10-26,10-14,787
2020-10-26,15-19,1672
2020-10-26,20-24,2379
2020-10-26,25-29,2210
2020-10-26,30-34,2236
2020-10-26,35-39,1930
2020-10-26,40-44,1847
2020-10-26,45-49,1896
2020-10-26,5-9,403
2020-10-26,50-54,2023
2020-10-26,55-59,1837
2020-10-26,60-64,1271
2020-10-26,65-69,735
2020-10-26,70-74,642
2020-10-26,75-79,413
2020-10-26,80-84,351
2020-10-26,85-89,296
2020-10-26,90+,256
2020-10-27,0-4,378
