Week starting (Wythnos yn dechrau),Week ending (Wythnos yn gorffen),Country (Wlad),Check-ins (Cofrestriadau),Symptoms reported (Symptomau a adroddwyd),Positive test results linked to app (Canlyniadau prawf positif),Negative test results linked to app (Canlyniadau prawf negatif),Contact tracing alert (Hysbysiadau olrhain cyswllt),Positive PCR test results linked to app (Canlyniadau prawf PCR positif cysylltiedig i ap),Positive LFD test results linked to app (Canlyniadau prawf LFD positif cysylltiedig i ap),Cumulative check-ins (Cofrestriadau cronnus),Cumulative symptoms reported (Symptomau a adroddwyd cronnus),Cumulative positive test results linked to app (Canlyniadau prawf positif cronnus),Cumulative negative test results linked to app (Canlyniadau prawf negatif cronnus),Cumulative contact tracing alert (Hysbysiadau olrhain cyswllt cronnus),Cumulative Positive PCR test results linked to app (Canlyniadau prawf PCR positif cronnol cysylltiedig i ap),Cumulative Positive LFD test results linked to app (Canlyniadau prawf LFD positif cronnol cysylltiedig i ap)
2021-05-06,2021-05-12,England / Lloegr,4927313,5459,4263,81829,9659,3297,1680,129993895,1627800,934786,3460886,1904386,924452,17178
2021-05-06,2021-05-12,Wales / Cymru,51949,363,135,4186,252,108,0,2946685,88405,48410,186927,66998,48307,160
2021-05-13,2021-05-19,England / Lloegr,7607201,6024,4112,89667,9517,3084,1667,137601096,1633824,938898,3550553,1913903,927536,18845
2021-05-13,2021-05-19,Wales / Cymru,93484,376,115,3772,205,102,5,3040169,88781,48525,190699,67203,48409,165
2021-05-20,2021-05-26,England / Lloegr,12788037,6285,4848,93752,16272,3617,1808,150389133,1640109,943746,3644305,1930175,931153,20653
2021-05-20,2021-05-26,Wales / Cymru,167869,339,108,3646,236,88,0,3208038,89120,48633,194345,67439,48497,165
2021-05-27,2021-06-02,England / Lloegr,14539283,6186,8234,87486,47051,6179,2671,164928416,1646295,951980,3731791,1977226,937332,23324
2021-05-27,2021-06-02,Wales / Cymru,187267,287,119,3129,460,96,0,3395305,89407,48752,197474,67899,48593,165
2021-06-03,2021-06-09,England / Lloegr,13157564,8615,15588,115069,111638,11764,4289,178085980,1654910,967568,3846860,2088864,949096,27613
2021-06-03,2021-06-09,Wales / Cymru,175640,409,228,5171,1605,202,15,3570945,89816,48980,202645,69504,48795,180
2021-06-10,2021-06-16,England / Lloegr,12474501,9592,22906,142731,150972,16732,6666,190560481,1664502,990474,3989591,2239836,965828,34279
2021-06-10,2021-06-16,Wales / Cymru,166709,406,401,4868,2472,326,25,3737654,90222,49381,207513,71976,49121,205
2021-06-17,2021-06-23,England / Lloegr,12484008,12630,35627,187667,219633,25907,10403,203044489,1677132,1026101,4177258,2459469,991735,44682
2021-06-17,2021-06-23,Wales / Cymru,174847,563,752,7051,4801,598,111,3912501,90785,50133,214564,76777,49719,316
2021-06-24,2021-06-30,England / Lloegr,12558993,18033,61117,209894,357053,44408,17866,215603482,1695165,1087218,4387152,2816522,1036143,62548
2021-06-24,2021-06-30,Wales / Cymru,172797,783,1472,9135,6965,1211,287,4085298,91568,51605,223699,83742,50930,603
2021-07-01,2021-07-07,England / Lloegr,11411353,24612,86653,236378,521426,63628,24625,227014835,1719777,1173871,4623530,3337948,1099771,87173
2021-07-01,2021-07-07,Wales / Cymru,165231,943,1964,10399,9946,1574,413,4250529,92511,53569,234098,93688,52504,1016
2021-07-08,2021-07-14,England / Lloegr,10234738,31326,115937,243763,608744,85999,32019,237249573,1751103,1289808,4867293,3946692,1185770,119192
